employee_id,risk_level,recommendation,action_taken,escalated,evidence,cited_features,targets_drivers,status,tool_calls
EMP1044,Low,,False,False,"['Employee EMP1044 has an attrition probability of 0.097 (9.7%), which is below the Medium risk threshold of 0.35. According to investigation rules, when risk is Low, I must finalize immediately with an empty confirmed_drivers list and no intervention, without spending tool calls investigating someone who is not at risk.']",[],[],NO_ACTION,6
EMP1060,Medium,assign_mentor,True,False,"['Business travel frequency is 2 vs cohort mean 1.1 (81st percentile, worst 19% of the cohort), contributing +1.18 to the risk logit.', 'Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.', 'Relationship satisfaction is 1 vs cohort mean 2.77 (0th percentile, the worst in the cohort), contributing +0.60 to the risk logit.', 'Employee EMP1060 has Medium risk (0.4451 probability). Three verified drivers identified: BusinessTravel_freq (logit_contribution=1.1822, severity_percentile=19.3), JobLevel (logit_contribution=0.7268, severity_percentile=0.0), and RelationshipSatisfaction (logit_contribution=0.5968, severity_percentile=0.0). Each meets criteria of logit_contribution >= 0.4 AND severity_percentile <= 35.0. Among available interventions for RelationshipSatisfaction (only driver with interventions), assign_mentor shows largest risk reduction (-20.54 pp) vs increase_manager_checkins (-8.12 pp).']","['BusinessTravel_freq', 'JobLevel', 'RelationshipSatisfaction']",['RelationshipSatisfaction'],APPROVED_FOR_REVIEW,8
EMP1156,Low,,False,False,"['Employee EMP1156 has an attrition probability of 0.1127, which is below the 0.35 threshold for Medium risk. Therefore, the risk level is Low and no investigation into drivers or interventions is warranted per the protocol.']",[],[],NO_ACTION,2
EMP1206,Low,,False,False,"['Employee EMP1206 has an attrition probability of 0.2145, which is below the Medium risk threshold of 0.35. Therefore, the risk level is Low and no investigation into drivers or interventions is warranted per the guidelines.']",[],[],NO_ACTION,2
EMP1379,High,compensation_review,True,False,"['Business travel frequency is 2 vs cohort mean 1.1 (81st percentile, worst 19% of the cohort), contributing +1.18 to the risk logit.', 'Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.', 'Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.', 'Employee EMP1379 has High attrition risk (0.6191). Three drivers meet both criteria: BusinessTravel_freq (contribution 1.1822, severity_percentile 19.3), JobLevel (contribution 0.7268, severity_percentile 0.0), and StockOptionLevel (contribution 0.4008, severity_percentile 0.0). Only StockOptionLevel has an available intervention (compensation_review), which simulation shows reduces risk by 14.02 percentage points to 0.4789.']","['BusinessTravel_freq', 'JobLevel', 'StockOptionLevel']",['StockOptionLevel'],APPROVED_FOR_REVIEW,7
EMP1495,Low,,False,False,"['Employee EMP1495 has an attrition probability of 0.0819, which is below the Low risk threshold of 0.35. No investigation of drivers is needed for low-risk employees.']",[],[],NO_ACTION,2
EMP1714,Medium,assign_mentor,True,False,"['Job involvement is 1 vs cohort mean 2.66 (0th percentile, the worst in the cohort), contributing +0.98 to the risk logit.', 'Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.', 'Commute distance is 22 vs cohort mean 9.1 (88th percentile, worst 12% of the cohort), contributing +0.73 to the risk logit.', 'Employee EMP1714 has Medium attrition risk (53.84% probability). Three drivers were verified as real: JobInvolvement (logit_contribution=0.9799, severity_percentile=0.0), JobLevel (logit_contribution=0.7268, severity_percentile=0.0), and DistanceFromHome (logit_contribution=0.7264, severity_percentile=11.7). All meet the criteria of logit_contribution ≥ 0.4 and severity_percentile ≤ 35.0. Among interventions that can move JobInvolvement (the only driver with available interventions), assign_assign_mentor yields the larger risk reduction (-22.41 percentage points) compared to ownership_assignment (-14.71 percentage points).']","['JobInvolvement', 'JobLevel', 'DistanceFromHome']",['JobInvolvement'],APPROVED_FOR_REVIEW,9
EMP1734,High,assign_mentor,True,False,"['Environment satisfaction is 1 vs cohort mean 2.69 (0th percentile, the worst in the cohort), contributing +1.06 to the risk logit.', 'Job involvement is 1 vs cohort mean 2.66 (0th percentile, the worst in the cohort), contributing +0.98 to the risk logit.', 'Stock option level is 0 vs cohort mean 0.7 (0th percentile, the worst in the cohort), contributing +0.40 to the risk logit.', 'Employee EMP1734 has High attrition risk (80.17% probability). Three drivers were verified: EnvironmentSatisfaction (logit_contribution=1.0615, severity_percentile=0.0), JobInvolvement (logit_contribution=0.9799, severity_percentile=0.0), and StockOptionLevel (logit_contribution=0.4008, severity_percentile=0.0). All meet the criteria of being material contributors (>=0.4) and unusual versus cohort (<=35th percentile). Intervention simulation showed assign_mentor provides the largest risk reduction (-18.79 percentage points), addressing JobInvolvement and offering additional benefits for RelationshipSatisfaction.']","['EnvironmentSatisfaction', 'JobInvolvement', 'StockOptionLevel']",['JobInvolvement'],APPROVED_FOR_REVIEW,9
EMP1766,High,workload_review,True,False,"['Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit.', 'Job involvement is 1 vs cohort mean 2.66 (0th percentile, the worst in the cohort), contributing +0.98 to the risk logit.', 'Commute distance is 18 vs cohort mean 9.1 (81st percentile, worst 19% of the cohort), contributing +0.50 to the risk logit.', 'Environment satisfaction is 2 vs cohort mean 2.69 (21st percentile, worst 21% of the cohort), contributing +0.43 to the risk logit.', 'Employee EMP1766 has high attrition risk (80.71% probability). Four drivers were verified as both material contributors (logit_contribution >= 0.4) and unusual versus the cohort (severity_percentile <= 35.0): OverTime_flag (contribution 1.209, percentile 30.4), JobInvolvement (0.9799, 0.0), DistanceFromHome (0.5, 18.7), and EnvironmentSatisfaction (0.4339, 21.1). Among intervenable drivers, workload_review (targeting OverTime_flag) yields the largest simulated risk reduction (-46.19 percentage points) compared to ownership_assignment (-10.96 pp). DistanceFromHome has no available intervention.']","['OverTime_flag', 'JobInvolvement', 'DistanceFromHome', 'EnvironmentSatisfaction']",['OverTime_flag'],APPROVED_FOR_REVIEW,10
EMP1801,Low,,False,False,"['The attrition probability for EMP1801 is 0.2737 (27.37%), which falls below the 0.35 threshold for Medium risk, placing the employee in the Low risk band. According to the investigation rules, when risk is Low, I must finalize immediately with an empty confirmed_drivers list and no intervention, without spending tool calls investigating further. Although the risk drivers analysis showed several material contributors (DistanceFromHome, EnvironmentSatisfaction, StockOptionLevel, JobInvolvement, JobSatisfaction, NumCompaniesWorked) with logit_contributions >= 0.35, and three of these were verified as unusual for the cohort (severity_percentile <= 35.0), the Low risk classification overrides the need for intervention per the established protocols.']",[],[],NO_ACTION,9
