employee_id,status,risk_level,attrition_probability,root_cause_status,recommendation,simulated_delta_pp,requires_human_decision,evidence,actionable_features,contextual_features,memory_notes,unresolved_objections,tool_calls
EMP1234,ESCALATED,High,0.6457,EXPLAINED,,,True,"Business travel frequency is 2 vs cohort mean 1.1 (81st percentile, worst 19% of the cohort), contributing +1.18 to the risk logit. | Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.",,BusinessTravel_freq | JobLevel,"Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual.","high_risk_no_action: risk is high but no intervention was proposed; this must be escalated to a human, not closed.",10
EMP1944,APPROVED_FOR_REVIEW,High,0.9891,EXPLAINED,Review team environment and working conditions,-0.93,True,"Business travel frequency is 2 vs cohort mean 1.1 (81st percentile, worst 19% of the cohort), contributing +1.18 to the risk logit. | Environment satisfaction is 1 vs cohort mean 2.69 (0th percentile, the worst in the cohort), contributing +1.06 to the risk logit. | Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit. | Commute distance is 22 vs cohort mean 9.1 (88th percentile, worst 12% of the cohort), contributing +0.73 to the risk logit.",EnvironmentSatisfaction,BusinessTravel_freq | JobLevel | DistanceFromHome,"Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual.",,7
EMP1494,APPROVED_FOR_REVIEW,High,0.9889,EXPLAINED,Review workload and reduce overtime,-7.07,True,"Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit. | Business travel frequency is 2 vs cohort mean 1.1 (81st percentile, worst 19% of the cohort), contributing +1.18 to the risk logit. | Job satisfaction is 1 vs cohort mean 2.76 (0th percentile, the worst in the cohort), contributing +0.83 to the risk logit. | Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.",OverTime_flag | JobSatisfaction,BusinessTravel_freq | JobLevel,"Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual.",,9
EMP1108,APPROVED_FOR_REVIEW,High,0.987,EXPLAINED,Review workload and reduce overtime,-8.17,True,"Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit. | Environment satisfaction is 1 vs cohort mean 2.69 (0th percentile, the worst in the cohort), contributing +1.06 to the risk logit. | Commute distance is 25 vs cohort mean 9.1 (94th percentile, worst 6% of the cohort), contributing +0.90 to the risk logit. | Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.",OverTime_flag | EnvironmentSatisfaction,DistanceFromHome | JobLevel,"Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual.",,8
EMP622,APPROVED_FOR_REVIEW,High,0.9728,EXPLAINED,Review workload and reduce overtime,-15.46,True,"Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit. | Job involvement is 1 vs cohort mean 2.66 (0th percentile, the worst in the cohort), contributing +0.98 to the risk logit. | Commute distance is 24 vs cohort mean 9.1 (91st percentile, worst 9% of the cohort), contributing +0.84 to the risk logit. | Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.",OverTime_flag | JobInvolvement,DistanceFromHome | JobLevel,"Job involvement is confirmed for only 6% of the cohort reviewed so far — this is specific to this employee. | Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual.",,9
EMP1273,APPROVED_FOR_REVIEW,High,0.9711,EXPLAINED,Review workload and reduce overtime,-16.23,True,"Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit. | Business travel frequency is 2 vs cohort mean 1.1 (81st percentile, worst 19% of the cohort), contributing +1.18 to the risk logit. | Job involvement is 1 vs cohort mean 2.66 (0th percentile, the worst in the cohort), contributing +0.98 to the risk logit. | Commute distance is 24 vs cohort mean 9.1 (91st percentile, worst 9% of the cohort), contributing +0.84 to the risk logit.",OverTime_flag | JobInvolvement,BusinessTravel_freq | DistanceFromHome,Job involvement is confirmed for only 6% of the cohort reviewed so far — this is specific to this employee.,,9
EMP282,APPROVED_FOR_REVIEW,High,0.97,EXPLAINED,Review workload and reduce overtime,-16.69,True,"Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit. | Commute distance is 29 vs cohort mean 9.1 (98th percentile, worst 2% of the cohort), contributing +1.12 to the risk logit. | Job satisfaction is 1 vs cohort mean 2.76 (0th percentile, the worst in the cohort), contributing +0.83 to the risk logit. | Environment satisfaction is 2 vs cohort mean 2.69 (21st percentile, worst 21% of the cohort), contributing +0.43 to the risk logit.",OverTime_flag | JobSatisfaction | EnvironmentSatisfaction,DistanceFromHome,,,10
EMP1868,APPROVED_FOR_REVIEW,High,0.9675,EXPLAINED,Review workload and reduce overtime,-17.78,True,"Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit. | Business travel frequency is 2 vs cohort mean 1.1 (81st percentile, worst 19% of the cohort), contributing +1.18 to the risk logit. | Commute distance is 24 vs cohort mean 9.1 (91st percentile, worst 9% of the cohort), contributing +0.84 to the risk logit. | Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.",OverTime_flag,BusinessTravel_freq | DistanceFromHome | JobLevel,"Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual.",,7
EMP214,APPROVED_FOR_REVIEW,High,0.9546,EXPLAINED,Review workload and reduce overtime,-22.85,True,"Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit. | Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit. | Environment satisfaction is 2 vs cohort mean 2.69 (21st percentile, worst 21% of the cohort), contributing +0.43 to the risk logit.",OverTime_flag | EnvironmentSatisfaction,JobLevel,"Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual.",,7
EMP911,APPROVED_FOR_REVIEW,High,0.9541,EXPLAINED,Review workload and reduce overtime,-23.02,True,"Working overtime is 1 vs cohort mean 0.3 (70th percentile, worst 30% of the cohort), contributing +1.21 to the risk logit. | Environment satisfaction is 1 vs cohort mean 2.69 (0th percentile, the worst in the cohort), contributing +1.06 to the risk logit. | Commute distance is 25 vs cohort mean 9.1 (94th percentile, worst 6% of the cohort), contributing +0.90 to the risk logit. | Job level is 1 vs cohort mean 1.6 (0th percentile, the worst in the cohort), contributing +0.73 to the risk logit.",OverTime_flag | EnvironmentSatisfaction,DistanceFromHome | JobLevel,"Job level is a confirmed driver for 63% of the cohort reviewed so far, so it describes the environment more than this individual.",,8
